model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
cnn2,l2,L2,42,16,16,both,1,0,20303001,15.010000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
cnn2,l2,L2,42,16,16,both,1,1,20303002,14.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
cnn2,l2,L2,42,16,16,both,1,2,20303003,14.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,0,0,20302801,81.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,0.5,0,20302901,44.030000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,0.5,1,20302902,44.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,0.5,2,20302903,44.330000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,1,0,20303001,23.500000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,1,1,20303002,23.680000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,42,16,16,both,1,2,20303003,23.510000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
