dataset,method,method_label,seed,L,T,parameters,fp32_param_kib,n_samples,accuracy,if_firing_density,ann_dense_macs_per_sample,snn_dense_ops_per_sample,event_synops_per_sample,event_synops_per_ann_mac,checkpoint
fashion_mnist,mne,MNE-L2,41,16,4,2081,8.12890625,1024,77.83203125,0.09315117038026148,30184.0,120736.0,12882.54296875,0.4268003899002783,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,41,16,8,2081,8.12890625,1024,81.15234375,0.0908440959696867,30184.0,241472.0,25840.08203125,0.8560854105237874,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,41,16,16,2081,8.12890625,1024,83.49609375,0.09547465188162667,30184.0,482944.0,55898.4375,1.8519227902199842,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,42,16,4,2081,8.12890625,1024,73.828125,0.08428838301678093,30184.0,120736.0,10961.134765625,0.363143876412172,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,42,16,8,2081,8.12890625,1024,77.44140625,0.06339291163853236,30184.0,241472.0,17708.447265625,0.5866832515778226,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,42,16,16,2081,8.12890625,1024,81.15234375,0.07076956301319356,30184.0,482944.0,40597.251953125,1.3449924447762058,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,43,16,4,2081,8.12890625,1024,70.01953125,0.05947860406369579,30184.0,120736.0,8922.388671875,0.29559994274698514,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,43,16,8,2081,8.12890625,1024,81.8359375,0.06927704324527663,30184.0,241472.0,20251.904296875,0.6709483268246422,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,43,16,16,2081,8.12890625,1024,83.30078125,0.07045249549710021,30184.0,482944.0,42990.328125,1.424275381824808,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,44,16,4,2081,8.12890625,1024,76.3671875,0.08532753769232303,30184.0,120736.0,13245.291015625,0.4388182817262457,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed44_ep30_L16_trainT0.pth
