folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.3479199888886739,0.12104831866829499,0.34791999485680464,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.0127113415628748,1.0255842613300779,1.0127113791820554,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.7152606466877405,0.5115977927001647,0.7152606762780414,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.505737490054538,0.255770408846664,0.5057374900598575,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.3574522096224644,0.12777208216398223,0.35745221628180784,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.25317882742412395,0.06409951865585434,0.2531788284212307,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.0402747901100897,1.0821716389385914,1.0402747959739467,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.7350784733558487,0.5403403619911652,0.7350785295936836,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.5200318473357088,0.27043312224339,0.52003185973957,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.3678144009734863,0.13528743356348455,0.3678144010797314,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.25979082247937013,0.06749127144450762,0.2597908224824966,0.5,0.7071067811865476,gaussian,6,4
