checkpoint,layer,type,shape,m_layer_mean,m_layer_strict,numel
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed61.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3623019754886627,0.4614366888999939,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed62.pth,classifier.weight,fc,"(10, 196)",0.307109534740448,0.4453434944152832,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed62.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5261635184288025,0.5594580173492432,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed62.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3660411238670349,0.40712493658065796,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed63.pth,classifier.weight,fc,"(10, 196)",0.27152591943740845,0.3552723824977875,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed63.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4682072103023529,0.5082443952560425,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed63.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3656614124774933,0.4356517791748047,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed44.pth,classifier.weight,fc,"(10, 196)",0.14927445352077484,0.3167318105697632,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed44.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.6177184581756592,0.8316843509674072,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed44.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3479020297527313,0.44966351985931396,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed45.pth,classifier.weight,fc,"(10, 196)",0.001673458726145327,0.0018181765917688608,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed45.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.09800930321216583,0.11387063562870026,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed45.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.04420141875743866,0.06204560026526451,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed46.pth,classifier.weight,fc,"(10, 196)",0.08414585888385773,0.15838941931724548,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed46.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.1961054801940918,0.20268931984901428,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed46.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.15960413217544556,0.2072456181049347,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed47.pth,classifier.weight,fc,"(10, 196)",0.12582820653915405,0.20610883831977844,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed47.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.40321066975593567,0.47636663913726807,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed47.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.4525660276412964,0.766215980052948,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed48.pth,classifier.weight,fc,"(10, 196)",0.021936452016234398,0.028326820582151413,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed48.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.059233468025922775,0.06520428508520126,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed48.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.057909343391656876,0.07798127084970474,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed49.pth,classifier.weight,fc,"(10, 196)",0.06114790216088295,0.1029583290219307,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed49.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.24911610782146454,0.27678072452545166,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed49.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.10939177125692368,0.1327233910560608,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed50.pth,classifier.weight,fc,"(10, 196)",0.13465115427970886,0.20923848450183868,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed50.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.28450503945350647,0.4382038116455078,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed50.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.2906643748283386,0.5420597791671753,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed51.pth,classifier.weight,fc,"(10, 196)",0.05853373184800148,0.0911531075835228,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed51.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.20027466118335724,0.29534390568733215,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed51.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.08253797143697739,0.09995871037244797,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed52.pth,classifier.weight,fc,"(10, 196)",0.052330709993839264,0.0779578909277916,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed52.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.1634809374809265,0.20664991438388824,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed52.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.10309100151062012,0.1205577701330185,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed53.pth,classifier.weight,fc,"(10, 196)",0.18538734316825867,0.26326853036880493,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed53.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4526810050010681,0.6509689092636108,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed53.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.29240766167640686,0.4077655076980591,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed54.pth,classifier.weight,fc,"(10, 196)",0.09795704483985901,0.16980382800102234,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed54.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.47970613837242126,0.7423825860023499,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed54.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.21152646839618683,0.40915384888648987,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed55.pth,classifier.weight,fc,"(10, 196)",0.018680818378925323,0.030657904222607613,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed55.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.10653630644083023,0.13656097650527954,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed55.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.07348867505788803,0.0878833532333374,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed56.pth,classifier.weight,fc,"(10, 196)",0.023076407611370087,0.037915561348199844,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed56.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.08183032274246216,0.08814463019371033,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed56.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.07175454497337341,0.1133057028055191,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed57.pth,classifier.weight,fc,"(10, 196)",0.039378371089696884,0.05375980958342552,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed57.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.21434128284454346,0.240250825881958,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed57.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.1067425012588501,0.15599358081817627,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed58.pth,classifier.weight,fc,"(10, 196)",0.07128987461328506,0.09378494322299957,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed58.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.21788223087787628,0.25407305359840393,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed58.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.11008402705192566,0.14315935969352722,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed59.pth,classifier.weight,fc,"(10, 196)",0.012491107918322086,0.021867884323000908,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed59.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.11491187661886215,0.14484892785549164,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed59.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.053640201687812805,0.0623585507273674,72
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed60.pth,classifier.weight,fc,"(10, 196)",0.08142916858196259,0.1184537336230278,1960
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed60.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.437507301568985,0.7163345813751221,18
mnist-checkpoints/cnn2_L[2]_T[2]_L2T2_seed60.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.2589263319969177,0.3990653455257416,72
