arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.50,97.588000,0.278155,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.55,97.512000,0.294398,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.60,97.492000,0.275264,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.65,97.460000,0.382296,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.70,97.448000,0.335291,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.75,97.428000,0.363964,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.80,97.402000,0.409231,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.85,97.290000,0.354965,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.90,97.272000,0.405549,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.95,97.190000,0.473973,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,1.00,97.214000,0.456979,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.00,97.710000,0.139284,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.05,97.682000,0.120291,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.10,97.686000,0.071274,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.15,97.670000,0.157003,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.20,97.680000,0.140178,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.25,97.636000,0.087063,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.30,97.602000,0.098843,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.35,97.572000,0.088148,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.40,97.560000,0.080000,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.45,97.554000,0.195525,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.50,97.628000,0.135904,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.55,97.496000,0.064265,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.60,97.466000,0.107842,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.65,97.502000,0.061400,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.70,97.526000,0.145877,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.75,97.462000,0.166343,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.80,97.366000,0.111265,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.85,97.366000,0.176720,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.90,97.356000,0.095551,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,0.95,97.342000,0.140428,5
fc3rev_h64,64,mne_l2,rate_uniform,16,16,1.00,97.356000,0.185284,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.00,97.218000,0.184716,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.05,97.180000,0.177482,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.10,97.184000,0.177285,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.15,97.164000,0.143457,5
