arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h4,4,weight_decay,16,8,42,normal,40.820000,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,8,43,normal,82.010000,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,8,44,normal,66.930000,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,16,40,normal,81.600000,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,16,41,normal,51.370000,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,16,42,normal,48.730000,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,16,43,normal,82.730000,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,16,44,normal,69.560000,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,32,40,normal,81.440000,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,32,41,normal,52.730000,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,32,42,normal,49.160000,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,32,43,normal,83.120000,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,32,44,normal,69.950000,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,32,2,40,normal,69.670000,mnist-checkpoints/fc3_h4_L[32]_strict_seed40_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,2,41,normal,30.930000,mnist-checkpoints/fc3_h4_L[32]_strict_seed41_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,2,42,normal,44.700000,mnist-checkpoints/fc3_h4_L[32]_strict_seed42_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,2,43,normal,58.680000,mnist-checkpoints/fc3_h4_L[32]_strict_seed43_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,2,44,normal,46.510000,mnist-checkpoints/fc3_h4_L[32]_strict_seed44_ablation_wd_l32_fc3_h4.pth
