dataset,method,label,seed,sigma,acc,checkpoint,matrix_csv
cifar10,mne_l2,MNE-standard,42,0.60,83.740000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.65,82.370000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.70,80.570000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.75,78.840000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.80,76.790000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.85,74.660000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.90,72.290000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.95,70.360000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,1.00,67.680000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,weight_decay,L2-all-WD,42,0.00,90.500000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_wd_l16_vgg16.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/L2-all-WD/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
