family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,2,0,44,normal,98.680000,mnist-checkpoints/cnn2_c8_c16_L[2]_strict_seed44_ablation_wd_l2_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,4,0,40,normal,98.930000,mnist-checkpoints/cnn2_c8_c16_L[4]_strict_seed40_ablation_wd_l4_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,4,0,41,normal,98.920000,mnist-checkpoints/cnn2_c8_c16_L[4]_strict_seed41_ablation_wd_l4_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,4,0,42,normal,98.930000,mnist-checkpoints/cnn2_c8_c16_L[4]_strict_seed42_ablation_wd_l4_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,4,0,43,normal,98.860000,mnist-checkpoints/cnn2_c8_c16_L[4]_strict_seed43_ablation_wd_l4_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,4,0,44,normal,98.930000,mnist-checkpoints/cnn2_c8_c16_L[4]_strict_seed44_ablation_wd_l4_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,8,0,40,normal,98.990000,mnist-checkpoints/cnn2_c8_c16_L[8]_strict_seed40_ablation_wd_l8_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,8,0,41,normal,99.070000,mnist-checkpoints/cnn2_c8_c16_L[8]_strict_seed41_ablation_wd_l8_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,8,0,42,normal,99.110000,mnist-checkpoints/cnn2_c8_c16_L[8]_strict_seed42_ablation_wd_l8_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,8,0,43,normal,98.980000,mnist-checkpoints/cnn2_c8_c16_L[8]_strict_seed43_ablation_wd_l8_cnn2_c8_c16.pth
