arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h4,4,mne_l2,43,16,16,normal,1.0,79.32,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.0,38.49,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.1,38.38,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.2,38.38,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.3,38.31,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.4,38.08,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.5,37.83,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.6,37.32,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.7,36.94,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
fc3_h4,4,mne_l2,44,16,16,normal,0.8,36.23,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_44/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_44.csv
