arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h64,64,weight_decay,0.55,97.104000,0.200574,5
fc3_h64,64,weight_decay,0.60,96.738000,0.271514,5
fc3_h64,64,weight_decay,0.65,96.428000,0.328283,5
fc3_h64,64,weight_decay,0.70,95.708000,0.528555,5
fc3_h64,64,weight_decay,0.75,94.876000,0.897067,5
fc3_h64,64,weight_decay,0.80,93.660000,1.082289,5
fc3_h64,64,weight_decay,0.85,92.274000,1.790008,5
fc3_h64,64,weight_decay,0.90,90.594000,2.337837,5
fc3_h64,64,weight_decay,0.95,88.456000,2.832795,5
fc3_h64,64,weight_decay,1.00,85.882000,3.679262,5
fc3_h64,64,no_regularization,0.00,96.732000,0.121120,5
fc3_h64,64,no_regularization,0.05,96.668000,0.128725,5
fc3_h64,64,no_regularization,0.10,96.620000,0.168375,5
fc3_h64,64,no_regularization,0.15,96.636000,0.118025,5
fc3_h64,64,no_regularization,0.20,96.606000,0.099398,5
fc3_h64,64,no_regularization,0.25,96.538000,0.154337,5
fc3_h64,64,no_regularization,0.30,96.464000,0.196672,5
fc3_h64,64,no_regularization,0.35,96.256000,0.175157,5
fc3_h64,64,no_regularization,0.40,95.724000,0.492879,5
fc3_h64,64,no_regularization,0.45,94.740000,1.029102,5
fc3_h64,64,no_regularization,0.50,92.824000,2.224439,5
fc3_h64,64,no_regularization,0.55,90.148000,4.021955,5
fc3_h64,64,no_regularization,0.60,86.716000,5.681081,5
fc3_h64,64,no_regularization,0.65,83.086000,7.251740,5
fc3_h64,64,no_regularization,0.70,79.338000,8.596233,5
fc3_h64,64,no_regularization,0.75,76.032000,9.608796,5
fc3_h64,64,no_regularization,0.80,72.330000,10.363793,5
fc3_h64,64,no_regularization,0.85,68.864000,11.006588,5
fc3_h64,64,no_regularization,0.90,65.870000,11.030981,5
fc3_h64,64,no_regularization,0.95,62.318000,10.827514,5
fc3_h64,64,no_regularization,1.00,59.560000,11.012759,5
fc3_h128,128,mne_l2,0.00,97.996000,0.119290,5
fc3_h128,128,mne_l2,0.05,97.950000,0.142302,5
fc3_h128,128,mne_l2,0.10,97.890000,0.130767,5
fc3_h128,128,mne_l2,0.15,97.952000,0.132552,5
fc3_h128,128,mne_l2,0.20,97.894000,0.177003,5
fc3_h128,128,mne_l2,0.25,97.894000,0.135757,5
fc3_h128,128,mne_l2,0.30,97.924000,0.154370,5
fc3_h128,128,mne_l2,0.35,97.780000,0.112250,5
fc3_h128,128,mne_l2,0.40,97.734000,0.116962,5
fc3_h128,128,mne_l2,0.45,97.608000,0.077910,5
fc3_h128,128,mne_l2,0.50,97.452000,0.134052,5
fc3_h128,128,mne_l2,0.55,97.322000,0.121120,5
fc3_h128,128,mne_l2,0.60,96.980000,0.118533,5
fc3_h128,128,mne_l2,0.65,96.658000,0.198293,5
fc3_h128,128,mne_l2,0.70,95.956000,0.180638,5
fc3_h128,128,mne_l2,0.75,95.056000,0.349471,5
fc3_h128,128,mne_l2,0.80,93.902000,0.561222,5
fc3_h128,128,mne_l2,0.85,92.192000,0.731451,5
fc3_h128,128,mne_l2,0.90,90.318000,1.193595,5
fc3_h128,128,mne_l2,0.95,87.754000,1.624725,5
fc3_h128,128,mne_l2,1.00,85.420000,2.042266,5
fc3_h128,128,weight_decay,0.00,97.812000,0.104738,5
fc3_h128,128,weight_decay,0.05,97.766000,0.131643,5
fc3_h128,128,weight_decay,0.10,97.774000,0.140107,5
fc3_h128,128,weight_decay,0.15,97.768000,0.108950,5
fc3_h128,128,weight_decay,0.20,97.758000,0.121532,5
fc3_h128,128,weight_decay,0.25,97.740000,0.156365,5
fc3_h128,128,weight_decay,0.30,97.734000,0.154693,5
fc3_h128,128,weight_decay,0.35,97.696000,0.138311,5
fc3_h128,128,weight_decay,0.40,97.594000,0.093167,5
fc3_h128,128,weight_decay,0.45,97.492000,0.113225,5
fc3_h128,128,weight_decay,0.50,97.322000,0.066106,5
fc3_h128,128,weight_decay,0.55,97.184000,0.100896,5
fc3_h128,128,weight_decay,0.60,96.842000,0.185391,5
fc3_h128,128,weight_decay,0.65,96.336000,0.214779,5
fc3_h128,128,weight_decay,0.70,95.668000,0.380487,5
fc3_h128,128,weight_decay,0.75,94.896000,0.531536,5
fc3_h128,128,weight_decay,0.80,93.692000,0.989581,5
fc3_h128,128,weight_decay,0.85,91.942000,1.318473,5
fc3_h128,128,weight_decay,0.90,90.180000,1.614110,5
fc3_h128,128,weight_decay,0.95,87.808000,2.041206,5
fc3_h128,128,weight_decay,1.00,85.336000,2.249162,5
fc3_h128,128,no_regularization,0.00,96.938000,0.369959,5
fc3_h128,128,no_regularization,0.05,96.856000,0.376271,5
fc3_h128,128,no_regularization,0.10,96.848000,0.385577,5
fc3_h128,128,no_regularization,0.15,96.878000,0.360167,5
fc3_h128,128,no_regularization,0.20,96.804000,0.263496,5
fc3_h128,128,no_regularization,0.25,96.796000,0.316907,5
fc3_h128,128,no_regularization,0.30,96.582000,0.232314,5
fc3_h128,128,no_regularization,0.35,96.306000,0.208279,5
fc3_h128,128,no_regularization,0.40,95.286000,0.593700,5
fc3_h128,128,no_regularization,0.45,92.884000,1.936267,5
fc3_h128,128,no_regularization,0.50,89.006000,3.959991,5
fc3_h128,128,no_regularization,0.55,85.034000,6.103907,5
fc3_h128,128,no_regularization,0.60,81.222000,7.500731,5
fc3_h128,128,no_regularization,0.65,77.830000,8.417158,5
fc3_h128,128,no_regularization,0.70,74.300000,9.437179,5
fc3_h128,128,no_regularization,0.75,71.276000,9.772540,5
fc3_h128,128,no_regularization,0.80,67.954000,9.795164,5
fc3_h128,128,no_regularization,0.85,64.902000,10.037767,5
fc3_h128,128,no_regularization,0.90,62.036000,9.762488,5
fc3_h128,128,no_regularization,0.95,59.206000,9.499059,5
fc3_h128,128,no_regularization,1.00,56.926000,9.595474,5
