dataset,arch,method,method_label,T,sigma,condition,use_for_energy,n_seeds,n_samples,noise_position,accuracy_mean,accuracy_std,firing_density_mean_mean,firing_density_mean_std,firing_density_median_mean,firing_density_median_std,firing_density_p95_mean,firing_density_p95_std,event_synops_mean_mean,event_synops_mean_std,event_synops_median_mean,event_synops_median_std,event_synops_p95_mean,event_synops_p95_std,rest_acs_mean_mean,rest_acs_mean_std,rest_acs_median_mean,rest_acs_median_std,rest_acs_p95_mean,rest_acs_p95_std,energy_mJ_mean_mean,energy_mJ_mean_std,energy_mJ_median_mean,energy_mJ_median_std,energy_mJ_p95_mean,energy_mJ_p95_std
cifar100,vgg16,l2_wo,L2-wo,16,1,noise,no,5,10000,post_input_if,63.794000000000004,0.24885738887965683,0.1051712200620363,0.0008912326643972422,0.10570202285437276,0.0009289007922626093,0.12006172454614435,0.001252369546054588,894015868.79743,2960265.901515997,893203927.5,2990921.9101350047,941776821.3,3608456.8548179897,866871676.79743,2960265.901515997,866059735.5,2990921.9101350047,914632629.3,3608456.8548179897,0.910417648317687,0.002664239311364472,0.9096869011500001,0.002691829719121473,0.9534025055700001,0.0032476111693361563
cifar100,vgg16,l1,L1,4,0,clean,yes,5,10000,post_input_if,52.366,0.945795961082516,0.08416122223119941,0.0020734987400380417,0.08436569104091726,0.0021338424507695826,0.10087694785577787,0.0022388963784838864,86518037.13605939,1262813.7858776618,86071302.2875,1376193.3282750577,105282868.2175,1523704.7895136871,79731989.13685939,1262813.785877665,79285254.2875,1376193.3282750577,98496820.2175,1523704.7895136871,0.10431707502317347,0.0011365324072898897,0.10391501365875,0.0012385739954475547,0.12120542299575002,0.0013713343105623142
cifar100,vgg16,l1,L1,4,1,noise,no,5,10000,post_input_if,51.008,0.8460319142916551,0.0838180146449247,0.001946409258248879,0.0839687429743705,0.0019903040423160357,0.10076139381463578,0.0022073661991045507,201545528.16252512,892631.2164578916,200750671.5625,828287.4785865153,217138100.51624998,1780133.5460245684,194759480.1633251,892631.2164579006,193964623.5625,828287.4785865153,210352052.51624998,1780133.5460245684,0.2078418169469926,0.0008033680948121131,0.20712644600625002,0.000745458730727865,0.221875132064625,0.0016021201914221104
cifar100,vgg16,l1,L1,8,0,clean,yes,5,10000,post_input_if,52.888,0.713806696522245,0.0842272721500534,0.0021526956484300107,0.08444538802551708,0.002218032968333652,0.10085016264332283,0.0022780345391840645,175524743.90341875,2804721.817619522,174662455.925,2998611.3740258687,212909771.13999996,3320999.194852175,161952647.90341875,2804721.817619522,161090359.925,2998611.3740258687,199337675.13999996,3320999.194852175,0.21087395271307688,0.002524249635857561,0.21009789353250002,0.0026987502366232845,0.24452047722599998,0.002988899275366948
cifar100,vgg16,l1,L1,8,1,noise,no,5,10000,post_input_if,52.754,0.6926254399024058,0.08404348235864433,0.0020515137101902504,0.08419681247189748,0.0021022013519086617,0.10077933551596222,0.0022648412805506514,407379352.32325184,2017918.6967278644,405789781.55,1914376.4500890498,437999395.89,3818171.0800994323,393807256.32325184,2017918.6967278644,392217685.55,1914376.4500890498,424427299.89,3818171.0800994323,0.4195431002909267,0.0018161268270550652,0.418112486595,0.001722938805080138,0.44710113950099994,0.0034363539720894745
cifar100,vgg16,l1,L1,16,0,clean,yes,5,10000,post_input_if,53.134,0.7324820816921066,0.08430628583949247,0.0021721594396544356,0.0845227797254384,0.0022453587038645333,0.10093123182118366,0.002267330873405667,359573874.10686874,5770825.889806664,357972754.9,6260243.27808129,434282208.43499994,6821488.883531267,332429682.10686874,5770825.889806664,330828562.9,6260243.27808129,407138016.43499994,6821488.883531267,0.4294198530961819,0.005193743300826013,0.42797884581000006,0.005634218950273184,0.4966573539915,0.006139339995178124
cifar100,vgg16,l1,L1,16,1,noise,no,5,10000,post_input_if,53.076,0.7615641798299091,0.08418601723650378,0.002101030163991454,0.08438933667519109,0.002161206756552161,0.10088115445143883,0.0022359714896201146,825125539.9954851,4219858.506420486,822042254.8,4182673.331320997,885836559.7700001,7600878.821647746,797981347.9954851,4219858.506420486,794898062.8,4182673.331320997,858692367.77,7600878.821647746,0.8484163523959365,0.003797872655778427,0.8456413957200001,0.0037644059981889375,0.903056270193,0.00684079093948294
cifar100,vgg16,mne_l2,MNE-L2,4,0,clean,yes,5,10000,post_input_if,59.238,0.21288494545176484,0.08935932868353755,0.00098484815199564,0.08959425233250899,0.0010107641547910937,0.10719423582227967,0.0016253446850749333,103638856.58426687,1014997.6486479961,103420453.05,1019401.6935675214,122455555.3375,1405272.4269104302,96852808.58506687,1014997.6486479961,96634405.05,1019401.6935675214,115669507.3375,1405272.4269104302,0.11972581252656019,0.0009134978837831934,0.119529249345,0.0009174615242107678,0.13666084140374998,0.001264745184219387
cifar100,vgg16,mne_l2,MNE-L2,4,1,noise,no,5,10000,post_input_if,58.772000000000006,0.27932060432413613,0.08958626865304631,0.0009562992284147761,0.08979395585094425,0.0009901738587819692,0.10737271315759891,0.001584587142014133,222646897.52512813,886851.8430442421,222509977.6,938699.0500963721,237500366.16749996,1116241.5132999683,215860849.5259281,886851.843044245,215723929.6,938699.0500963721,230714318.16749996,1116241.5132999683,0.22683304937333534,0.0007981666587398216,0.22670982144000001,0.0008448291450867506,0.24020117115075,0.0010046173619699692
cifar100,vgg16,mne_l2,MNE-L2,8,0,clean,yes,5,10000,post_input_if,59.622,0.30507376157250754,0.0896386719716024,0.0010427102547859066,0.08984028109543615,0.0010531177279340456,0.10732190468328462,0.0016920734375099442,210583585.412185,2059241.4964934068,210028571.825,2093570.9584694596,248473570.20999998,3037839.1351404125,197011489.412185,2059241.4964934068,196456475.825,2093570.9584694596,234901474.20999998,3037839.1351404125,0.24242691007096653,0.0018533173468440601,0.2419273978425,0.0018842138626225082,0.276527896389,0.002734055221626354
