model,regularizer,seed,sigma,acc,matrix_csv
fc2_h8,weight_decay,41,0.7,76.9,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.8,74.79,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.9,73.05,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,1.0,71.31,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,42,0.0,82.01,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.1,81.85,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.2,81.43,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.3,80.98,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.4,79.89,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.5,79.34,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.6,77.74,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,weight_decay,42,0.7,76.12,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
